description,funding,period,principal_investigator,title,url
"ADQUISICIÓN  DE  EQUIPAMIENTO  CIENTÍFICO-TÉCNICO

Actualización  de  las  prestaciones  de  analisis  y  generación  de  señal  para  los  retos  del   proximo salto tecnológico en micro y nano-electrónica.
IP: 
				  Bernabé Linares Barranco",,,"ENVISAGE

Tecnologias de vision habilitantes para transporte inteligente integrado
 
				  Ricardo Carmona Galán / Jorge Fernández Berni","MAS+CARA - ADQUISICIÓN  DE  EQUIPAMIENTO  CIENTÍFICO-TÉCNICO

Actualización  de  las  prestaciones  de  analisis  y  generación  de  señal  para  los  retos  del   proximo salto tecnológico en micro y nano-electrónica.
IP: 
				  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=217
"ENVISAGE

Tecnologias de vision habilitantes para transporte inteligente integrado
IP: 
				  Ricardo Carmona Galán / Jorge Fernández Berni",,,,"ADQUISICIÓN  DE  EQUIPAMIENTO  CIENTÍFICO-TÉCNICO - ENVISAGE

Tecnologias de vision habilitantes para transporte inteligente integrado
IP: 
				  Ricardo Carmona Galán / Jorge Fernández Berni",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=220
"RTN SECURE

Explotación del RTN para seguridad hardware resistente al envejecimiento
IP: 
                  Elisenda Roca Moreno",,,"BIOVEO

Sistema hardware nano/CMOS de reconocimiento de objetos BIOinspirado con Visión E-fOveal
 
                  Bernabé Linares Barranco","Programa Investigo - RTN SECURE

Explotación del RTN para seguridad hardware resistente al envejecimiento
IP: 
                  Elisenda Roca Moreno",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=241
"BIOVEO

Sistema hardware nano/CMOS de reconocimiento de objetos BIOinspirado con Visión E-fOveal
IP: 
                  Bernabé Linares Barranco",,,"PRECLI-HF

PRototipado y Ensayo CLÍnico del nuevo dispositivo portátil HF-volum para la monitorización en tiempo real de volúmenes en pacientes con insuficiencia cardiaca
 
                  Alberto Yúfera García","RTN SECURE - BIOVEO

Sistema hardware nano/CMOS de reconocimiento de objetos BIOinspirado con Visión E-fOveal
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=233
"PRECLI-HF

PRototipado y Ensayo CLÍnico del nuevo dispositivo portátil HF-volum para la monitorización en tiempo real de volúmenes en pacientes con insuficiencia cardiaca
IP: 
                  Alberto Yúfera García",,,"SYMAS

Sistema de medida y electroestimulación para aplicaciones de diferenciación y motilidad celular
 
                  Alberto Yúfera García","BIOVEO - PRECLI-HF

PRototipado y Ensayo CLÍnico del nuevo dispositivo portátil HF-volum para la monitorización en tiempo real de volúmenes en pacientes con insuficiencia cardiaca
IP: 
                  Alberto Yúfera García",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=232
"SYMAS

Sistema de medida y electroestimulación para aplicaciones de diferenciación y motilidad celular
IP: 
                  Alberto Yúfera García",,,"[NO ACRONYM]

Diseño y Estudio de Mercado de Un Prototipo Industrial de Sensor Solar Asíncrono para El Control de la Actitud en Sistemas de Navegación Espacial
 
                  Juan A. Leñero Bardallo","PRECLI-HF - SYMAS

Sistema de medida y electroestimulación para aplicaciones de diferenciación y motilidad celular
IP: 
                  Alberto Yúfera García",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=225
"[NO ACRONYM]

Diseño y Estudio de Mercado de Un Prototipo Industrial de Sensor Solar Asíncrono para El Control de la Actitud en Sistemas de Navegación Espacial
IP: 
                  Juan A. Leñero Bardallo",,,"VERSO

Integración vertical de sensores de imagen con paralelismo embebido
 
                  Juan A. Leñero Bardallo","SYMAS - [NO ACRONYM]

Diseño y Estudio de Mercado de Un Prototipo Industrial de Sensor Solar Asíncrono para El Control de la Actitud en Sistemas de Navegación Espacial
IP: 
                  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=207
"VERSO

Integración vertical de sensores de imagen con paralelismo embebido
IP: 
                  Juan A. Leñero Bardallo",,,"SCAROT

Side-Channel Attacks on Root of Trust
 
                  Antonio J. Acosta Jiménez","[NO ACRONYM] - VERSO

Integración vertical de sensores de imagen con paralelismo embebido
IP: 
                  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=224
"SCAROT

Side-Channel Attacks on Root of Trust
IP: 
                  Antonio J. Acosta Jiménez",,,"RESURGENCE 

Power, reliability and security challenges in advanced CMOS and beyond-CMOS devices and circuits
 
                  Juan Núñez Martínez","VERSO - SCAROT

Side-Channel Attacks on Root of Trust
IP: 
                  Antonio J. Acosta Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=216
"RESURGENCE 

Power, reliability and security challenges in advanced CMOS and beyond-CMOS devices and circuits
IP: 
                  Juan Núñez Martínez",,,"CRYPTOHARDWEAR

Soluciones hardware para afrontar los nuevos retos criptográficos de dispositivos wearables
 
                  Iluminada Baturone Castillo","SCAROT - RESURGENCE 

Power, reliability and security challenges in advanced CMOS and beyond-CMOS devices and circuits
IP: 
                  Juan Núñez Martínez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=218
"CRYPTOHARDWEAR

Soluciones hardware para afrontar los nuevos retos criptográficos de dispositivos wearables
IP: 
                  Iluminada Baturone Castillo",,,"SPADARCH

Flexible SPAD-Based CMOS Chip Architectures for Time Correlated Single Photon Counting
 
                  Juan A. Leñero Bardallo","RESURGENCE - CRYPTOHARDWEAR

Soluciones hardware para afrontar los nuevos retos criptográficos de dispositivos wearables
IP: 
                  Iluminada Baturone Castillo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=219
"SPADARCH

Flexible SPAD-Based CMOS Chip Architectures for Time Correlated Single Photon Counting
IP: 
                  Juan A. Leñero Bardallo",,,"NEURO-RADIO

Radio cognitiva embebida con aprendizaje neuronal
 
                  Luis A. Camuñas Mesa","CRYPTOHARDWEAR - SPADARCH

Flexible SPAD-Based CMOS Chip Architectures for Time Correlated Single Photon Counting
IP: 
                  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=199
"NEURO-RADIO

Radio cognitiva embebida con aprendizaje neuronal
IP: 
                  Luis A. Camuñas Mesa",,,"INFRAESTRUCTURA 5169

Actualización de la infraestructura de red de comunicaciones en el Instituto de Microelectrónica de Sevilla
 
                  Bernabé Linares Barranco","SPADARCH - NEURO-RADIO

Radio cognitiva embebida con aprendizaje neuronal
IP: 
                  Luis A. Camuñas Mesa",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=198
"INFRAESTRUCTURA 5169

Actualización de la infraestructura de red de comunicaciones en el Instituto de Microelectrónica de Sevilla
IP: 
                  Bernabé Linares Barranco",,,"COGNITIO

Diseño de interfaces cognitivas para dispositivos IoT con inteligencia artificial
 
                  José M. de la Rosa Utrera","NEURO-RADIO - INFRAESTRUCTURA 5169

Actualización de la infraestructura de red de comunicaciones en el Instituto de Microelectrónica de Sevilla
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=200
"COGNITIO

Diseño de interfaces cognitivas para dispositivos IoT con inteligencia artificial
IP: 
                  José M. de la Rosa Utrera",,,,"INFRAESTRUCTURA 5169 - COGNITIO

Diseño de interfaces cognitivas para dispositivos IoT con inteligencia artificial
IP: 
                  José M. de la Rosa Utrera",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=209
"DECIDE

Democratizing European Chip Innovation and Design Ecosystem
IP: 
                  Macarena C. Martínez Rodríguez",,,"ARCHYTAS

ARCHitectures based on unconventional accelerators for dependable/energY efficienT AI Systems
 
                  Bernabé Linares Barranco","PEROSPIKER - DECIDE

Democratizing European Chip Innovation and Design Ecosystem
IP: 
                  Macarena C. Martínez Rodríguez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=239
"ARCHYTAS

ARCHitectures based on unconventional accelerators for dependable/energY efficienT AI Systems
IP: 
                  Bernabé Linares Barranco",,,"QUBIP 

Quantum-oriented Update to Browsers and Infrastructures for the PQ Transition
 
                  Piedad Brox Jiménez","DECIDE - ARCHYTAS

ARCHitectures based on unconventional accelerators for dependable/energY efficienT AI Systems
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=269
"QUBIP 

Quantum-oriented Update to Browsers and Infrastructures for the PQ Transition
IP: 
                  Piedad Brox Jiménez",,,"CROSSBRAIN

Distributed and federated cross-modality actuation through advanced nanomaterials and neuromorphic learning
 
                  Bernabé Linares Barranco","ARCHYTAS - QUBIP 

Quantum-oriented Update to Browsers and Infrastructures for the PQ Transition
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=265
"CROSSBRAIN

Distributed and federated cross-modality actuation through advanced nanomaterials and neuromorphic learning
IP: 
                  Bernabé Linares Barranco",,,"SQPRIM

Secure post-quantum cryptographic primitives
 
                  Piedad Brox Jiménez","QUBIP - CROSSBRAIN

Distributed and federated cross-modality actuation through advanced nanomaterials and neuromorphic learning
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=237
"SQPRIM

Secure post-quantum cryptographic primitives
IP: 
                  Piedad Brox Jiménez",,,"GOIT

Go It!
 
                  Piedad Brox Jiménez","CROSSBRAIN - SQPRIM

Secure post-quantum cryptographic primitives
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=235
"GOIT

Go It!
IP: 
                  Piedad Brox Jiménez",,,"NIMBLE AI

Ultra-energy efficient and secure neuromorphic sensing and processing at the endpoint
 
                  Bernabé Linares Barranco","SQPRIM - GOIT

Go It!
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=238
"NIMBLE AI

Ultra-energy efficient and secure neuromorphic sensing and processing at the endpoint
IP: 
                  Bernabé Linares Barranco",,,"SPINAGE

Weighted Spintronic-Nano-Oscillator-based Neuromorphic Computing System Assisted by laser for Cognitive Computing
 
                  Teresa Serrano Gotarredona","GOIT - NIMBLE AI

Ultra-energy efficient and secure neuromorphic sensing and processing at the endpoint
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=223
"SPINAGE

Weighted Spintronic-Nano-Oscillator-based Neuromorphic Computing System Assisted by laser for Cognitive Computing
IP: 
                  Teresa Serrano Gotarredona",,,"SPIRS

Secure Platform for ICT Systems Rooted at the Silicon Manufacturing Process
 
                  Piedad Brox Jiménez","NIMBLE AI - SPINAGE

Weighted Spintronic-Nano-Oscillator-based Neuromorphic Computing System Assisted by laser for Cognitive Computing
IP: 
                  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=234
"SPIRS

Secure Platform for ICT Systems Rooted at the Silicon Manufacturing Process
IP: 
                  Piedad Brox Jiménez",,,"APPROVIS3D

Analog PROcessing of bioinspired VIsion Sensors for 3D reconstruction
 
                  Teresa Serrano Gotarredona","SPINAGE - SPIRS

Secure Platform for ICT Systems Rooted at the Silicon Manufacturing Process
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=195
"APPROVIS3D

Analog PROcessing of bioinspired VIsion Sensors for 3D reconstruction
IP: 
                  Teresa Serrano Gotarredona",,,"HERMES

Hybrid Enhanced Regenerative Medicine Systems
 
                  Teresa Serrano Gotarredona","SPIRS - APPROVIS3D

Analog PROcessing of bioinspired VIsion Sensors for 3D reconstruction
IP: 
                  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=212
"HERMES

Hybrid Enhanced Regenerative Medicine Systems
IP: 
                  Teresa Serrano Gotarredona",,,"NEURONN

Two-Dimensional Oscillatory Neural Networks for Energy Efficent Neuromorphic Computing
 
                  Bernabé Linares Barranco","APPROVIS3D - HERMES

Hybrid Enhanced Regenerative Medicine Systems
IP: 
                  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=196
